Model Type,Frozen Layers,Best Train Accuracy (%),Best Test Accuracy (%),Final Train Accuracy (%),Final Test Accuracy (%),Best Train Loss,Best Test Loss
resnet18,"[1, 0.9, 0.75, 0.5]",87.25076687116564,87.66025641025641,86.73312883435584,86.85897435897436,0.3028577531407947,0.304405057659516
resnet18,"[1, 0.9, 0.75, 0.5]",97.48849693251533,91.98717948717949,97.48849693251533,91.98717948717949,0.06766834836796018,0.2627555669213717
resnet18,"[1, 0.9, 0.75, 0.5]",99.0989263803681,93.42948717948718,98.88803680981594,90.86538461538461,0.027830968582374188,0.20242807230888268
resnet18,"[1, 0.9, 0.75, 0.5]",99.44401840490798,93.91025641025641,99.40567484662577,92.3076923076923,0.016611899472087438,0.20048693491098207
